row_id,section,speaker,chars,flags,english,greek
dialogue:1,dialogue,,75,TAGS,How can the <color=lightblue>Eye</color> be older than the universe itself?,Πώς είναι δυνατόν το <color=lightblue>Μάτι</color> να είναι πιο παλιό από το ίδιο το σύμπαν;
dialogue:2,dialogue,,47,,Suppose it is a relic from a previous universe.,Υποθέτω πως είναι ένα κειμήλιο από προηγούμενο σύμπαν.
dialogue:3,dialogue,,108,,"The early universe was unimaginably hot and dense. If anything existed before, it would have been destroyed.","Στην αρχή το σύμπαν ήταν αδιανόητα καυτό και πυκνό. Αν κάτι προϋπήρχε, θα είχε καταστραφεί."
dialogue:4,dialogue,,54,,Suppose the universe is older than previously assumed.,Υποθέτω πως το σύμπαν είναι πιο παλιό από όσο θεωρούσαμε έως τώρα.
dialogue:5,dialogue,,115,TAGS,"The <color=orange>Ash Twin Project</color> requires a powerful, highly advanced warp core. How should we obtain it?",Το <color=orange> Πρότζεκτ του Διδύμου της Στάχτης</color> απαιτεί έναν ισχυρό και πολυσύνθετο πυρήνα στρέβλωσης. Πώς θα τον αποκτήσουμε;
dialogue:6,dialogue,,109,TAGS,Solution 2: We could craft a new advanced warp core inspired by the <color=orange>Vessel</color>’s warp core.,Λύση 2: Θα μπορούσαμε να κατασκευάσουμε έναν νέο πολυσύνθετο πυρήνα στρέβλωσης εμπνευσμένο από τον πυρήνα στρέβλωσης του <color=orange>Σκάφους</color>.
dialogue:7,dialogue,OENO,173,TAGS,"OENO: The greatest challenge here, I think, is we don’t have the design for such a powerful core, or any of the original crafters of the <color=orange>Vessel</color>’s core.","ΟΙΝΩ: Η μεγαλύτερη δυσκολία εδώ, νομίζω, είναι ότι δεν έχουμε ούτε τα σχέδια για έναν τόσο ισχυρό πυρήνα ούτε κάποιον από τους αρχικούς κατασκευαστές του πυρήνα του <color=orange>Σκάφους</color>."
dialogue:8,dialogue,CLARY,162,TAGS,"CLARY: No, but Poke was apprenticed to Annona, who created the original design, and our <color=orange>Black Hole Forge</color> is adept at crafting simpler cores.","ΚΛΑΡΥ: Όχι, όμως η Πόουκ μαθήτευσε δίπλα στον Ανόνα, που δημιούργησε το αρχικό σχέδιο, και το <color=orange>Σφυρηλατείο της Μαύρης Τρύπας</color> μας κατασκευάζει με άνεση απλούστερους πυρήνες."
dialogue:9,dialogue,POKE,158,TAGS,"POKE: I believe I can be of use here! The <color=orange>Vessel</color>’s warp core was created before my time, but Annona explained many of his designs to me.","ΠΟΟΥΚ: Πιστεύω ότι μπορώ να φανώ χρήσιμη εδώ! Ο πυρήνας στρέβλωσης του <color=orange>Σκάφους</color> φτιάχτηκε πριν από την εποχή μου, αλλά ο Ανόνα μού εξήγησε πολλά από τα σχέδιά του."
dialogue:10,dialogue,IDAEA,44,,IDAEA: This is the safest path for our clan.,ΙΔΑΙΑ: Αυτός είναι ο ασφαλέστερος δρόμος για τη φυλή μας.
